review_id,product_id,product_name,category,rating,review_title,review_text,review_date,verified_purchase,helpful_votes,review_text_clean,review_length,sentiment_score,sentiment_label
R100000,P1168,Prime Remote Control,Movies & TV,4,Exceeded expectations,Very happy with this purchase. great value for the price.,2025-12-16,No,9,very happy with this purchase great value for the price,10,1.0,Positive
R100001,P1108,Smart Dash Cam,Automotive,5,Excellent product,Impressive performance overall.,2024-02-16,Yes,2,impressive performance overall,3,1.0,Positive
R100002,P1102,Max Phone Mount,Automotive,3,Mixed feelings,"Acceptable but could be improved. does what it says, nothing more.",2023-09-05,Yes,0,acceptable but could be improved does what it says nothing more,11,0.0,Neutral
R100003,P1016,Deluxe Biography,Books,1,Broke quickly,Broke after a few days of use. not as described in the listing.,2024-04-16,Yes,6,broke after a few days of use not as described in the listing,13,-0.385,Negative
R100004,P1001,Ultra Wireless Earbuds,Electronics,5,Great purchase!,Super comfortable and stylish.,2024-04-13,Yes,3,super comfortable and stylish,4,1.0,Positive
R100005,P1008,Compact USB-C Cable,Electronics,1,Would not recommend,Poor quality and not worth the money. customer service was unhelpful.,2024-07-24,Yes,10,poor quality and not worth the money customer service was unhelpful,11,-0.909,Negative
R100006,P1054,Prime RC Car,Toys & Games,5,Excellent product,Great value for the price. super comfortable and stylish. durable and works as expected.,2025-08-26,Yes,0,great value for the price super comfortable and stylish durable and works as expected,14,1.0,Positive
R100007,P1121,Prime Desk Organizer,Office Products,3,It's okay,Decent product overall. average quality for the price.,2025-06-01,Yes,0,decent product overall average quality for the price,8,0.625,Positive
R100008,P1105,Ultra Seat Covers,Automotive,4,Great purchase!,Easy to use and set up. super comfortable and stylish.,2023-07-21,Yes,2,easy to use and set up super comfortable and stylish,10,1.0,Positive
R100009,P1186,Ultra Paint Roller,Tools & Home Improvement,4,Great purchase!,Customer service was excellent. easy to use and set up.,2024-05-24,Yes,1,customer service was excellent easy to use and set up,10,1.0,Positive
R100010,P1137,Classic Pacifier Set,Baby Products,5,Highly recommend,Great value for the price. exactly as described and works great.,2024-07-24,Yes,0,great value for the price exactly as described and works great,11,1.0,Positive
R100011,P1019,Elite Notebook Set,Books,4,Excellent product,Customer service was excellent. easy to use and set up.,2023-07-20,Yes,1,customer service was excellent easy to use and set up,10,1.0,Positive
R100012,P1138,Compact Baby Bottles,Baby Products,4,Highly recommend,Works perfectly and exceeded my expectations.,2023-12-07,Yes,4,works perfectly and exceeded my expectations,6,1.0,Positive
R100013,P1123,Essential Wireless Mouse,Office Products,3,It's okay,"Not bad, not great either.",2023-12-04,Yes,2,not bad not great either,5,0.0,Neutral
R100014,P1099,Pro Hand Sanitizer,Health & Household,5,Very satisfied,Impressive performance overall. customer service was excellent.,2024-08-07,Yes,0,impressive performance overall customer service was excellent,7,1.0,Positive
R100015,P1187,Max Paint Roller,Tools & Home Improvement,5,Highly recommend,Best purchase i've made this year. super comfortable and stylish. amazing quality for the price.,2024-01-24,Yes,0,best purchase i've made this year super comfortable and stylish amazing quality for the price,15,1.0,Positive
R100016,P1014,Pro Self-Help Guide,Books,2,Poor quality,Started malfunctioning almost immediately. customer service was unhelpful. broke after a few days of use.,2023-04-28,Yes,8,started malfunctioning almost immediately customer service was unhelpful broke after a few days of use,15,-1.0,Negative
R100017,P1122,Prime Wireless Mouse,Office Products,5,Highly recommend,Impressive performance overall. easy to use and set up. very happy with this purchase.,2023-04-27,No,4,impressive performance overall easy to use and set up very happy with this purchase,14,1.0,Positive
R100018,P1020,Pro Blender,Home & Kitchen,4,Excellent product,Works perfectly and exceeded my expectations.,2023-05-20,Yes,0,works perfectly and exceeded my expectations,6,1.0,Positive
R100019,P1060,Deluxe T-Shirt,Clothing,5,Highly recommend,Works perfectly and exceeded my expectations. durable and works as expected.,2023-03-23,Yes,1,works perfectly and exceeded my expectations durable and works as expected,11,1.0,Positive
R100020,P1107,Elite Jump Starter,Automotive,2,Poor quality,"Not as described in the listing. worse than expected, very frustrating. customer service was unhelpful.",2024-06-18,Yes,2,not as described in the listing worse than expected very frustrating customer service was unhelpful,15,-1.0,Negative
R100021,P1183,Max Tool Box,Tools & Home Improvement,1,Not worth it,Does not work as advertised. stopped working within a week.,2023-09-26,Yes,7,does not work as advertised stopped working within a week,10,-0.5,Negative
R100022,P1076,Max Boots,Shoes,4,Great purchase!,Fast shipping and well packaged. customer service was excellent.,2023-01-20,Yes,3,fast shipping and well packaged customer service was excellent,9,1.0,Positive
R100023,P1144,Plus Plant Pots,Garden & Outdoor,4,Excellent product,Works perfectly and exceeded my expectations.,2024-03-12,Yes,2,works perfectly and exceeded my expectations,6,1.0,Positive
R100024,P1033,Plus Hair Dryer,Beauty & Personal Care,5,Highly recommend,Impressive performance overall. works perfectly and exceeded my expectations.,2025-01-26,Yes,0,impressive performance overall works perfectly and exceeded my expectations,9,1.0,Positive
R100025,P1112,Lite Cat Litter Box,Pet Supplies,5,Excellent product,Super comfortable and stylish. highly recommend this to everyone. durable and works as expected.,2023-01-17,Yes,4,super comfortable and stylish highly recommend this to everyone durable and works as expected,14,1.0,Positive
R100026,P1141,Plus Garden Hose,Garden & Outdoor,5,Great purchase!,Impressive performance overall. best purchase i've made this year.,2023-10-03,Yes,6,impressive performance overall best purchase i've made this year,9,1.0,Positive
R100027,P1027,Deluxe Coffee Maker,Home & Kitchen,5,Exceeded expectations,Very happy with this purchase. great value for the price. highly recommend this to everyone.,2024-03-07,Yes,7,very happy with this purchase great value for the price highly recommend this to everyone,15,1.0,Positive
R100028,P1052,Plus Puzzle Set,Toys & Games,2,Broke quickly,Terrible experience overall. regret buying this product. stopped working within a week.,2025-09-27,Yes,0,terrible experience overall regret buying this product stopped working within a week,12,-1.0,Negative
R100029,P1013,Pro Cookbook,Books,1,Not worth it,Terrible experience overall.,2024-07-20,Yes,1,terrible experience overall,3,-1.0,Negative
R100030,P1085,Compact Green Tea,Grocery & Gourmet Food,4,Exceeded expectations,Best purchase i've made this year.,2023-11-27,Yes,0,best purchase i've made this year,6,0.833,Positive
R100031,P1141,Plus Garden Hose,Garden & Outdoor,5,Great purchase!,Exactly as described and works great. very happy with this purchase. absolutely love this product.,2023-06-04,No,1,exactly as described and works great very happy with this purchase absolutely love this product,15,1.0,Positive
R100032,P1176,Classic Gaming Mouse Pad,Video Games,4,Great purchase!,Very happy with this purchase.,2025-01-26,Yes,2,very happy with this purchase,5,1.0,Positive
R100033,P1037,Deluxe Electric Razor,Beauty & Personal Care,3,Does the job,"Works fine but nothing extraordinary. it's okay, does the job but nothing special.",2025-01-16,No,4,works fine but nothing extraordinary it's okay does the job but nothing special,13,0.0,Neutral
R100034,P1010,Ultra Novel,Books,2,Would not recommend,Does not work as advertised. terrible experience overall.,2023-07-30,Yes,13,does not work as advertised terrible experience overall,8,-0.625,Negative
R100035,P1143,Ultra Patio Umbrella,Garden & Outdoor,5,Highly recommend,,2024-04-29,No,0,,0,0.0,Neutral
R100036,P1045,Elite Water Bottle,Sports & Outdoors,1,Poor quality,Broke after a few days of use. very disappointed with this purchase.,2025-04-23,Yes,5,broke after a few days of use very disappointed with this purchase,12,-0.833,Negative
R100037,P1188,Essential Tape Measure,Tools & Home Improvement,5,Highly recommend,Highly recommend this to everyone.,2023-08-10,Yes,3,highly recommend this to everyone,5,1.0,Positive
R100038,P1009,Prime USB-C Cable,Electronics,5,Very satisfied,Excellent build quality. impressive performance overall.,2024-12-17,Yes,0,excellent build quality impressive performance overall,6,1.0,Positive
R100039,P1058,Max Action Figure,Toys & Games,4,Highly recommend,Absolutely love this product.,2025-03-27,Yes,0,absolutely love this product,4,1.0,Positive
R100040,P1017,Smart Biography,Books,5,Excellent product,Fast shipping and well packaged. best purchase i've made this year.,2025-03-29,Yes,2,fast shipping and well packaged best purchase i've made this year,11,0.909,Positive
R100041,P1137,Classic Pacifier Set,Baby Products,4,Exceeded expectations,Absolutely love this product. works perfectly and exceeded my expectations.,2024-01-01,Yes,0,absolutely love this product works perfectly and exceeded my expectations,10,1.0,Positive
R100042,P1067,Deluxe Hoodie,Clothing,4,Excellent product,Works perfectly and exceeded my expectations.,2025-06-08,Yes,1,works perfectly and exceeded my expectations,6,1.0,Positive
R100043,P1080,Smart Coffee Beans,Grocery & Gourmet Food,5,Great purchase!,Durable and works as expected. very happy with this purchase.,2025-02-27,No,3,durable and works as expected very happy with this purchase,10,1.0,Positive
R100044,P1048,Smart Hiking Backpack,Sports & Outdoors,5,Very satisfied,Absolutely love this product. super comfortable and stylish.,2023-01-04,Yes,1,absolutely love this product super comfortable and stylish,8,1.0,Positive
R100045,P1137,Classic Pacifier Set,Baby Products,2,Would not recommend,"Started malfunctioning almost immediately. worse than expected, very frustrating. regret buying this product.",2025-01-15,Yes,3,started malfunctioning almost immediately worse than expected very frustrating regret buying this product,13,-1.0,Negative
R100046,P1170,Compact Game Controller,Video Games,5,Great purchase!,Durable and works as expected. fast shipping and well packaged.,2024-09-07,Yes,2,durable and works as expected fast shipping and well packaged,10,1.0,Positive
R100047,P1170,Compact Game Controller,Video Games,5,Exceeded expectations,Fast shipping and well packaged. exactly as described and works great.,2023-09-18,Yes,2,fast shipping and well packaged exactly as described and works great,11,0.909,Positive
R100048,P1170,Compact Game Controller,Video Games,4,Highly recommend,Best purchase i've made this year. super comfortable and stylish.,2024-09-08,Yes,1,best purchase i've made this year super comfortable and stylish,10,1.0,Positive
R100049,P1000,Compact Wireless Earbuds,Electronics,1,Not worth it,Stopped working within a week. does not work as advertised.,2024-10-21,Yes,0,stopped working within a week does not work as advertised,10,-0.5,Negative
R100050,P1113,Plus Cat Litter Box,Pet Supplies,1,Would not recommend,Does not work as advertised. customer service was unhelpful. arrived damaged and defective.,2023-06-23,Yes,3,does not work as advertised customer service was unhelpful arrived damaged and defective,13,-1.0,Negative
R100051,P1169,Ultra Remote Control,Movies & TV,4,Highly recommend,Durable and works as expected. fast shipping and well packaged. works perfectly and exceeded my expectations.,2024-09-27,Yes,2,durable and works as expected fast shipping and well packaged works perfectly and exceeded my expectations,16,1.0,Positive
R100052,P1050,Prime Building Blocks,Toys & Games,5,Great purchase!,Absolutely love this product.,2024-05-16,No,0,absolutely love this product,4,1.0,Positive
R100053,P1156,Essential Guitar Strings,Musical Instruments,4,Very satisfied,Amazing quality for the price.,2024-02-03,Yes,4,amazing quality for the price,5,1.0,Positive
R100054,P1098,Max Hand Sanitizer,Health & Household,3,Average product,"Not bad, not great either. decent product overall.",2023-01-12,No,0,not bad not great either decent product overall,8,0.0,Neutral
R100055,P1197,Prime Ring,Jewelry,4,Very satisfied,Customer service was excellent.,2024-03-24,Yes,0,customer service was excellent,4,1.0,Positive
R100056,P1178,Classic Memory Card,Video Games,5,Highly recommend,Amazing quality for the price. absolutely love this product. very happy with this purchase.,2023-09-06,Yes,4,amazing quality for the price absolutely love this product very happy with this purchase,14,1.0,Positive
R100057,P1118,Classic Pet Grooming Kit,Pet Supplies,5,Exceeded expectations,Very happy with this purchase. impressive performance overall. durable and works as expected.,2025-06-25,Yes,6,very happy with this purchase impressive performance overall durable and works as expected,13,1.0,Positive
R100058,P1184,Lite LED Light Bulbs,Tools & Home Improvement,5,Very satisfied,Exactly as described and works great. easy to use and set up. very happy with this purchase.,2023-11-22,Yes,0,exactly as described and works great easy to use and set up very happy with this purchase,17,0.882,Positive
R100059,P1121,Prime Desk Organizer,Office Products,5,Highly recommend,Highly recommend this to everyone. customer service was excellent.,2024-07-21,Yes,2,highly recommend this to everyone customer service was excellent,9,1.0,Positive
R100060,P1133,Lite Diaper Bag,Baby Products,5,Exceeded expectations,Best purchase i've made this year. excellent build quality.,2025-06-19,Yes,6,best purchase i've made this year excellent build quality,9,1.0,Positive
R100061,P1073,Max Sandals,Shoes,4,Exceeded expectations,Highly recommend this to everyone.,2024-10-16,No,0,highly recommend this to everyone,5,1.0,Positive
R100062,P1020,Pro Blender,Home & Kitchen,3,Average product,Works fine but nothing extraordinary.,2025-02-23,Yes,1,works fine but nothing extraordinary,5,0.0,Neutral
R100063,P1180,Prime Drill Set,Tools & Home Improvement,5,Very satisfied,Works perfectly and exceeded my expectations.,2025-04-14,Yes,5,works perfectly and exceeded my expectations,6,1.0,Positive
R100064,P1119,Deluxe Pet Grooming Kit,Pet Supplies,1,Not worth it,Broke after a few days of use. does not work as advertised.,2025-03-08,No,2,broke after a few days of use does not work as advertised,12,-0.417,Negative
R100065,P1149,Essential Solar Lights,Garden & Outdoor,4,Excellent product,Absolutely love this product. easy to use and set up. customer service was excellent.,2025-02-18,Yes,0,absolutely love this product easy to use and set up customer service was excellent,14,1.0,Positive
R100066,P1090,Classic Vitamin Supplements,Health & Household,2,Not worth it,"Flimsy material and poor stitching. waste of money, would not recommend.",2024-03-27,Yes,1,flimsy material and poor stitching waste of money would not recommend,11,-1.0,Negative
R100067,P1069,Plus Socks Pack,Clothing,5,Very satisfied,Amazing quality for the price. absolutely love this product.,2024-11-19,Yes,1,amazing quality for the price absolutely love this product,9,1.0,Positive
R100068,P1103,Plus Phone Mount,Automotive,4,Highly recommend,Great value for the price. easy to use and set up. amazing quality for the price.,2025-12-29,Yes,3,great value for the price easy to use and set up amazing quality for the price,16,1.0,Positive
R100069,P1100,Deluxe Car Vacuum,Automotive,4,Great purchase!,Durable and works as expected. best purchase i've made this year. absolutely love this product.,2025-05-27,Yes,10,durable and works as expected best purchase i've made this year absolutely love this product,15,1.0,Positive
R100070,P1118,Classic Pet Grooming Kit,Pet Supplies,5,Exceeded expectations,Absolutely love this product.,2025-02-15,Yes,0,absolutely love this product,4,1.0,Positive
R100071,P1116,Classic Chew Toys,Pet Supplies,4,Very satisfied,Fast shipping and well packaged. customer service was excellent.,2024-07-23,Yes,1,fast shipping and well packaged customer service was excellent,9,1.0,Positive
R100072,P1107,Elite Jump Starter,Automotive,4,Very satisfied,Easy to use and set up. works perfectly and exceeded my expectations.,2023-02-09,Yes,0,easy to use and set up works perfectly and exceeded my expectations,12,1.0,Positive
R100073,P1013,Pro Cookbook,Books,5,Great purchase!,Excellent build quality. best purchase i've made this year.,2023-03-24,Yes,2,excellent build quality best purchase i've made this year,9,1.0,Positive
